著者名,作品名,入力文字数,収集率,不一致の行数
アンデルセン_ハンス・クリスチャン,いいなずけ,2781,1,0
アンデルセン_ハンス・クリスチャン,すずの兵隊さん,5690,1,0
アンデルセン_ハンス・クリスチャン,とびくらべ,2410,0.958,2
アンデルセン_ハンス・クリスチャン,ほんとにそのとおり,2899,0.978,1
アンデルセン_ハンス・クリスチャン,みにくいアヒルの子,13300,0.975,7
アンデルセン_ハンス・クリスチャン,わるい王さま伝説,3405,1,0
アンデルセン_ハンス・クリスチャン,アンネリスベット,15611,0.988,5
アンデルセン_ハンス・クリスチャン,イーダちゃんのお花,9598,1,0
アンデルセン_ハンス・クリスチャン,コウノトリ,6205,1,0
アンデルセン_ハンス・クリスチャン,ナイチンゲール,12891,1,0
アンデルセン_ハンス・クリスチャン,ブタ飼い,5679,1,0
アンデルセン_ハンス・クリスチャン,ペンとインキつぼ,2949,1,0
アンデルセン_ハンス・クリスチャン,モミの木,11252,0.986,2
アンデルセン_ハンス・クリスチャン,人形つかい,5677,1,0
アンデルセン_ハンス・クリスチャン,人魚の姫,30100,0.985,12
アンデルセン_ハンス・クリスチャン,幸福な一家,4296,1,0
アンデルセン_ハンス・クリスチャン,眠りの精,12624,0.991,3
アンデルセン_ハンス・クリスチャン,空とぶトランク,7308,0.985,3
アンデルセン_ハンス・クリスチャン,雪だるま,6723,0.97,4
グリム_ヤーコプ・ルートヴィッヒ・カール,いさましいちびの仕立屋さん,10722,0.986,4
グリム_ヤーコプ・ルートヴィッヒ・カール,うまい商売,5177,0.979,3
グリム_ヤーコプ・ルートヴィッヒ・カール,こわいことを知りたくて旅にでかけた男の話,12338,0.984,5
グリム_ヤーコプ・ルートヴィッヒ・カール,なぞ,3732,0.997,1
グリム_ヤーコプ・ルートヴィッヒ・カール,ならずもの,2592,1,0
グリム_ヤーコプ・ルートヴィッヒ・カール,にいさんと妹,7828,0.984,2
グリム_ヤーコプ・ルートヴィッヒ・カール,わらと炭と豆,1613,1,0
グリム_ヤーコプ・ルートヴィッヒ・カール,オオカミと七ひきの子ヤギ,3612,1,0
グリム_ヤーコプ・ルートヴィッヒ・カール,ネコとネズミのいっしょのくらし,3347,1,0
グリム_ヤーコプ・ルートヴィッヒ・カール,ブレーメンの音楽師,4114,0.969,4
グリム_ヤーコプ・ルートヴィッヒ・カール,マリアの子ども,5972,0.965,5
グリム_ヤーコプ・ルートヴィッヒ・カール,ラプンツェル,4591,0.993,1
グリム_ヤーコプ・ルートヴィッヒ・カール,七羽のカラス,3140,1,0
グリム_ヤーコプ・ルートヴィッヒ・カール,三人の糸くり女,2952,1,0
グリム_ヤーコプ・ルートヴィッヒ・カール,三枚のヘビの葉,4699,1,0
グリム_ヤーコプ・ルートヴィッヒ・カール,十二人兄弟,6729,0.984,3
グリム_ヤーコプ・ルートヴィッヒ・カール,忠義者のヨハネス,10052,1,0
グリム_ヤーコプ・ルートヴィッヒ・カール,森のなかの三人の小人,6323,0.992,1
グリム_ヤーコプ・ルートヴィッヒ・カール,漁師とそのおかみさんの話,10090,0.989,2
グリム_ヤーコプ・ルートヴィッヒ・カール,白ヘビ,4999,0.993,1
グリム_ヤーコプ・ルートヴィッヒ・カール,赤ずきん,3792,1,0
チェーホフ_アントン,可愛い女,15463,0.947,13
チェーホフ_アントン,少年たち,7068,0.914,13
チェーホフ_アントン,犬を連れた奥さん,19285,0.918,31
ツルゲーネフ_イワン,はつ恋,74242,0.946,68
マン_パウル・トーマス,ある幸福,12054,0.989,2
マン_パウル・トーマス,なぐり合い,16339,0.99,3
マン_パウル・トーマス,トニオクレエゲル,64152,0.979,20
マン_パウル・トーマス,トリスタン,43406,0.975,14
マン_パウル・トーマス,ルイスヒェン,16458,0.977,4
マン_パウル・トーマス,ヴェニスに死す,83485,0.949,57
マン_パウル・トーマス,予言者の家で,7871,0.995,1
マン_パウル・トーマス,墓地へゆく道,9205,0.983,3
マン_パウル・トーマス,幸福への意志,15512,0.964,10
マン_パウル・トーマス,幻滅,6624,0.991,2
マン_パウル・トーマス,悩みのひととき,8825,1,0
マン_パウル・トーマス,神童,9247,1,0
マン_パウル・トーマス,衣裳戸棚,8789,0.976,3
マン_パウル・トーマス,道化者,29086,0.983,6
マン_パウル・トーマス,鉄道事故,10260,1,0
ユゴー_ヴィクトル,レミゼラブル_03序,271,1,0
ユゴー_ヴィクトル,レミゼラブル_04第一部ファンテーヌ,295385,0.95,265
ユゴー_ヴィクトル,レミゼラブル_06第三部マリユス,231730,0.941,277
ユゴー_ヴィクトル,レミゼラブル_07第四部叙情詩と叙事詩プリューメ街の恋歌とサンドゥニ街の戦歌,326000,0.949,326
ルナール_ジュール,にんじん,98517,0.982,19
三木清,人生論ノート,70602,0.979,24
下村湖人,次郎物語_02第二部,145502,0.944,197
下村湖人,次郎物語_03第三部,116882,0.922,171
下村湖人,次郎物語_04第四部,177522,0.936,221
中勘助,島守,18033,0.992,3
中島敦,光と風と夢,78617,0.927,136
中島敦,南島譚_02夫婦,7344,0.933,9
中島敦,南島譚_03雞,8757,0.977,5
中島敦,名人伝,5730,0.981,3
中島敦,山月記,5797,0.963,6
中島敦,弟子,23738,0.967,16
中島敦,悟浄出世,18540,0.935,25
中島敦,悟浄歎異_沙門悟浄の手記,12444,0.903,24
中島敦,文字禍,6441,0.926,9
中島敦,斗南先生,22165,0.946,29
中島敦,木乃伊,4306,0.936,8
中島敦,狐憑,4792,0.942,7
中島敦,環礁_ミクロネシヤ巡島記抄,36422,0.9,71
中島敦,章魚木の下で,2094,0.925,3
中谷宇吉郎,おにぎりの味,1210,1,0
中谷宇吉郎,かぶらずし,659,1,0
中谷宇吉郎,サラダの謎,2763,1,0
中谷宇吉郎,テレビの科学番組,2995,1,0
中谷宇吉郎,一人の無名作家,1121,1,0
中谷宇吉郎,九谷焼,6476,0.974,4
中谷宇吉郎,八月三日の夢,5796,0.93,8
中谷宇吉郎,南画を描く話,11920,0.971,4
中谷宇吉郎,原子爆弾雑話,6885,0.966,3
中谷宇吉郎,天地創造の話,7958,0.958,5
中谷宇吉郎,天災は忘れた頃来る,1056,1,0
中谷宇吉郎,室鰺,2513,1,0
中谷宇吉郎,寺田先生と銀座,1012,1,0
中谷宇吉郎,島津斉彬公,1101,1,0
中谷宇吉郎,指導者としての寺田先生,4202,1,0
中谷宇吉郎,日本石器時代提要のこと,1056,1,0
中谷宇吉郎,映画を作る話,12086,0.966,9
中谷宇吉郎,比較科学論,9482,0.972,4
中谷宇吉郎,流言蜚語,1933,1,0
中谷宇吉郎,淡窓先生の教育,1083,1,0
中谷宇吉郎,由布院行,6757,1,0
中谷宇吉郎,真夏の日本海,4863,0.973,3
中谷宇吉郎,硝子を破る者,6728,1,0
中谷宇吉郎,私の履歴書,5622,1,0
中谷宇吉郎,私の生まれた家,1381,1,0
中谷宇吉郎,科学と文化,3852,1,0
中谷宇吉郎,立春の卵,8429,0.981,3
中谷宇吉郎,簪を挿した蛇,9656,0.975,4
中谷宇吉郎,線香の火,1102,1,0
中谷宇吉郎,自然の恵み_少国民のための新しい雪の話,9116,0.967,10
中谷宇吉郎,茶碗の湯のことなど,5020,1,0
中谷宇吉郎,西遊記の夢,8919,0.987,2
中谷宇吉郎,語呂の論理,6575,0.911,8
中谷宇吉郎,貝鍋の歌,1754,0.974,2
中谷宇吉郎,雪の話,3971,0.979,2
中谷宇吉郎,雪を作る話,2917,0.99,3
中谷宇吉郎,雪今昔物語,15614,0.929,22
中谷宇吉郎,雪後記,8805,0.98,4
中谷宇吉郎,雪雑記,9988,1,0
中谷宇吉郎,霜柱の研究について,4614,1,0
中谷宇吉郎,露伴先生と神仙道,7977,0.949,7
中谷宇吉郎,面白味,1017,1,0
中谷宇吉郎,鼠の湯治,4043,0.924,4
中里介山,大菩薩峠_01甲源一刀流の巻,61087,0.966,30
中里介山,大菩薩峠_02鈴鹿山の巻,36833,0.985,16
中里介山,大菩薩峠_03壬生と島原の巻,50664,0.963,27
中里介山,大菩薩峠_04三輪の神杉の巻,49237,0.971,29
中里介山,大菩薩峠_05龍神の巻,36765,0.965,20
中里介山,大菩薩峠_06間の山の巻,63929,0.97,35
中里介山,大菩薩峠_07東海道の巻,49509,0.971,23
中里介山,大菩薩峠_08白根山の巻,43401,0.988,10
中里介山,大菩薩峠_09女子と小人の巻,50700,0.995,5
中里介山,大菩薩峠_10市中騒動の巻,60133,0.98,17
中里介山,大菩薩峠_11駒井能登守の巻,55221,0.99,3
中里介山,大菩薩峠_12伯耆の安綱の巻,46551,0.98,22
中里介山,大菩薩峠_13如法闇夜の巻,85874,0.981,21
中里介山,大菩薩峠_14お銀様の巻,92937,0.953,75
中里介山,大菩薩峠_15慢心和尚の巻,83275,0.947,74
中里介山,大菩薩峠_16道庵と鯔八の巻,77564,0.922,86
中里介山,大菩薩峠_17黒業白業の巻,90638,0.942,81
中里介山,大菩薩峠_18安房の国の巻,92204,0.971,31
中里介山,大菩薩峠_19小名路の巻,99770,0.985,21
中里介山,大菩薩峠_20禹門三級の巻,84218,0.981,25
中里介山,大菩薩峠_21無明の巻,149703,0.964,86
中里介山,大菩薩峠_22白骨の巻,126966,0.973,54
中里介山,大菩薩峠_23他生の巻,144348,0.956,71
中里介山,大菩薩峠_24流転の巻,157684,0.97,82
中里介山,大菩薩峠_25みちりやの巻,114619,0.979,42
中里介山,大菩薩峠_26めいろの巻,168242,0.966,76
中里介山,大菩薩峠_27鈴慕の巻,70875,0.969,38
中里介山,大菩薩峠_28Oceanの巻,57257,0.976,19
中里介山,大菩薩峠_29年魚市の巻,236654,0.965,277
中里介山,大菩薩峠_30畜生谷の巻,74016,0.978,18
中里介山,大菩薩峠_31勿来の巻,146977,0.97,71
中里介山,大菩薩峠_32弁信の巻,199396,0.952,100
中里介山,大菩薩峠_33不破の関の巻,202480,0.967,79
中里介山,大菩薩峠_34白雲の巻,103849,0.952,77
中里介山,大菩薩峠_35胆吹の巻,96326,0.975,31
中里介山,大菩薩峠_36新月の巻,201907,0.971,65
中里介山,大菩薩峠_37恐山の巻,250636,0.962,140
中里介山,大菩薩峠_38農奴の巻,167880,0.953,81
中里介山,大菩薩峠_39京の夢おう坂の夢の巻,163745,0.926,194
中里介山,大菩薩峠_41椰子林の巻,176812,0.962,82
久生十蘭,ユモレスク,9964,0.918,13
久生十蘭,川波,8967,0.958,7
久生十蘭,平賀源内捕物帳_萩寺の女,18971,0.978,11
久生十蘭,昆虫図,1750,1,0
久生十蘭,春の山,8720,0.968,7
久生十蘭,母子像,7718,0.96,4
久生十蘭,水草,1265,1,0
久生十蘭,無月物語,19425,0.969,8
久生十蘭,生霊,9228,0.933,10
久生十蘭,虹の橋,14937,0.95,10
久生十蘭,雪間,11734,0.982,4
久生十蘭,雲の小径,16495,0.989,2
久生十蘭,骨仏,2089,0.984,1
二葉亭四迷,平凡,80288,0.933,81
伊藤左千夫,姪子,5417,1,0
伊藤左千夫,守の家,3547,1,0
伊藤左千夫,春の潮,38226,0.957,32
伊藤左千夫,浜菊,10281,0.995,1
伊藤左千夫,牛舎の日記,1637,1,0
伊藤左千夫,野菊の墓,33404,0.962,33
伊藤左千夫,隣の嫁,23129,0.98,12
佐々木味津三,旗本退屈男_01第一話旗本退屈男,19309,0.95,10
佐々木味津三,旗本退屈男_02第二話続旗本退屈男,16132,0.901,17
佐々木味津三,旗本退屈男_03第三話後の旗本退屈男,14373,0.939,5
佐々木味津三,旗本退屈男_04第四話京へ上った退屈男,24134,0.953,15
佐々木味津三,旗本退屈男_05第五話三河に現れた退屈男,21370,0.947,17
佐々木味津三,旗本退屈男_06第六話身延に現れた退屈男,18306,0.958,12
佐々木味津三,旗本退屈男_07第七話仙台に現れた退屈男,19495,0.949,19
佐々木味津三,旗本退屈男_08第八話日光に現れた退屈男,26307,0.943,27
佐々木味津三,旗本退屈男_09第九話江戸に帰った退屈男,19863,0.974,7
佐々木味津三,旗本退屈男_10第十話幽霊を買った退屈男,20042,0.957,24
佐々木味津三,旗本退屈男_11第十一話千代田城へ乗り込んだ退屈男,39917,0.944,42
佐々木邦,いたずら小僧日記,62695,0.993,12
佐々木邦,ガラマサどん,98191,0.937,333
佐々木邦,凡人伝,97241,0.962,203
佐々木邦,勝ち運負け運,118568,0.944,338
佐々木邦,脱線息子,105951,0.919,391
佐々木邦,苦心の学友,161028,0.952,355
佐々木邦,親鳥子鳥,87810,0.989,33
佐々木邦,負けない男,97905,0.952,322
佐左木俊郎,仮装観桜会,12388,0.984,3
佐左木俊郎,恐怖城,76721,0.984,21
佐左木俊郎,或る嬰児殺しの動機,11647,0.975,5
佐左木俊郎,猟奇の街,14300,0.982,4
佐左木俊郎,街頭の偽映鏡,12941,0.991,1
佐左木俊郎,錯覚の拷問室,14020,0.993,2
佐藤紅緑,ああ玉杯に花うけて,125639,0.962,60
倉田百三,出家とその弟子,121742,0.903,360
北原白秋,木曾川,25436,0.978,14
北大路魯山人,いなせな縞の初鰹,1430,1,0
北大路魯山人,お米の話,1442,1,0
北大路魯山人,お茶漬けの味,1913,0.983,3
北大路魯山人,くちこ,1006,1,0
北大路魯山人,てんぷらの茶漬け,477,1,0
北大路魯山人,インチキ鮎,2037,1,0
北大路魯山人,一癖あるどじょう,1309,1,0
北大路魯山人,三州仕立て小蕪汁,1954,1,0
北大路魯山人,京都のごりの茶漬け,986,1,0
北大路魯山人,個性,2560,0.966,3
北大路魯山人,化学調味料,1148,0.967,2
北大路魯山人,味を知るもの鮮し,3635,0.944,4
北大路魯山人,味覚の美と芸術の美,5011,1,0
北大路魯山人,味覚馬鹿,8641,0.992,2
北大路魯山人,塩昆布の茶漬け,766,1,0
北大路魯山人,塩鮭塩鱒の茶漬け,1083,1,0
北大路魯山人,家庭料理の話,2147,1,0
北大路魯山人,小ざかな干物の味,1849,1,0
北大路魯山人,山椒,378,0.907,2
北大路魯山人,山椒魚,2809,1,0
北大路魯山人,序に代えて,974,0.902,5
北大路魯山人,持ち味を生かす,1482,1,0
北大路魯山人,握り寿司の名人,9279,0.985,2
北大路魯山人,数の子は音を食うもの,1714,1,0
北大路魯山人,料理する心,3726,0.933,2
北大路魯山人,料理の妙味,1591,1,0
北大路魯山人,料理の秘訣,2952,1,0
北大路魯山人,料理は道理を料るもの,1207,1,0
北大路魯山人,料理も創作である,1135,1,0
北大路魯山人,日本芥子,674,0.923,2
北大路魯山人,昆布とろ,2240,1,0
北大路魯山人,昆布とろの吸い物,826,1,0
北大路魯山人,明石鯛に優る朝鮮の鯛,1849,0.933,2
北大路魯山人,東京で自慢の鮑,1243,1,0
北大路魯山人,椎茸の話,569,1,0
北大路魯山人,残肴の処理,1808,0.939,3
北大路魯山人,沢庵,507,0.913,2
北大路魯山人,河豚のこと,2805,1,0
北大路魯山人,河豚は毒魚か,3072,0.946,6
北大路魯山人,洗いづくりの世界,2120,1,0
北大路魯山人,洗いづくりの美味さ,1228,1,0
北大路魯山人,洛北深泥池の蓴菜,1129,1,0
北大路魯山人,海にふぐ山にわらび,1310,1,0
北大路魯山人,海の青と空の青,2998,1,0
北大路魯山人,海苔の茶漬け,1559,1,0
北大路魯山人,猪の味,4060,1,0
北大路魯山人,琥珀揚げ,1165,1,0
北大路魯山人,田螺,1423,1,0
北大路魯山人,白菜のスープ煮,665,1,0
北大路魯山人,知らずや肝の美味,1220,1,0
北大路魯山人,納豆の茶漬け,1209,1,0
北大路魯山人,美味い豆腐の話,1838,0.934,3
北大路魯山人,美食と人生,1537,0.952,1
北大路魯山人,美食多産期の腹構え,1558,1,0
北大路魯山人,胡瓜,960,0.907,2
北大路魯山人,若狭春鯖のなれずし,1078,1,0
北大路魯山人,若鮎の気品を食う,1104,1,0
北大路魯山人,茶碗蒸し,866,1,0
北大路魯山人,薄口醤油,1358,0.951,3
北大路魯山人,蝦蟇を食べた話,3384,1,0
北大路魯山人,西園寺公の食道楽,2661,0.954,2
北大路魯山人,車蝦の茶漬け,632,1,0
北大路魯山人,道は次第に狭し,5056,1,0
北大路魯山人,鍋料理の話,3139,1,0
北大路魯山人,食器は料理のきもの,3494,1,0
北大路魯山人,高野豆腐,1181,1,0
北大路魯山人,鮎の名所,1637,0.968,2
北大路魯山人,鮎の試食時代,1203,1,0
北大路魯山人,鮎の食い方,2252,1,0
北大路魯山人,鮎ははらわた,1251,1,0
北大路魯山人,鮎を食う,1508,1,0
北大路魯山人,鮑の水貝,948,1,0
北大路魯山人,鮪の茶漬け,2229,1,0
北大路魯山人,鮪を食う話,4134,1,0
北大路魯山人,鰻の話,3384,1,0
北条民雄,いのちの初夜,23256,0.955,23
北条民雄,すみれ,2140,1,0
北条民雄,可愛いポール,2031,1,0
北条民雄,重病室日誌,6690,0.952,7
原民喜,冬日記,8965,0.983,3
原民喜,壊滅の序曲,28920,0.991,2
原民喜,夏の花,12727,0.979,10
原民喜,廃墟から,14211,0.99,3
原民喜,死のなかの風景,10243,0.987,3
原民喜,永遠のみどり,11177,0.989,2
原民喜,火の唇,10492,0.983,4
原民喜,秋日記,9484,0.996,2
原民喜,美しき死の岸に,9706,0.973,6
原民喜,苦しく美しき夏,7811,0.996,1
原民喜,鎮魂歌,28603,0.989,8
古川緑波,ああ東京は食い倒れ,2225,1,0
古川緑波,うどんのお化け,2447,1,0
古川緑波,想い出,2021,1,0
古川緑波,清涼飲料,2042,1,0
古川緑波,牛鍋からすき焼へ,5163,0.935,7
古川緑波,甘話休題,7225,0.98,3
古川緑波,神戸,7141,0.931,12
古川緑波,駄パンその他,2612,1,0
吉川英治,三国志_02桃園の巻,152206,0.932,393
吉川英治,三国志_03群星の巻,148199,0.982,84
吉川英治,三国志_04草莽の巻,147761,0.967,146
吉川英治,三国志_05臣道の巻,155301,0.98,84
吉川英治,三国志_06孔明の巻,158176,0.98,88
吉川英治,三国志_07赤壁の巻,161103,0.981,80
吉川英治,三国志_08望蜀の巻,155817,0.98,104
吉川英治,三国志_09図南の巻,169574,0.961,198
吉川英治,三国志_10出師の巻,188244,0.98,104
吉川英治,三国志_11五丈原の巻,170101,0.961,180
吉川英治,上杉謙信,127334,0.925,316
吉川英治,剣の四君子_02柳生石舟斎,39696,0.992,5
吉川英治,剣の四君子_03林崎甚助,10356,0.965,5
吉川英治,剣の四君子_04高橋泥舟,9750,0.992,4
吉川英治,剣の四君子_05小野忠明,25872,0.99,5
吉川英治,剣難女難,241335,0.914,380
吉川英治,増長天王,11328,0.95,11
吉川英治,夏虫行燈,17907,0.983,9
吉川英治,夕顔の門,13748,0.99,8
吉川英治,大岡越前,216263,0.987,68
吉川英治,大谷刑部,16980,0.971,11
吉川英治,宮本武蔵_02地の巻,90506,0.931,150
吉川英治,宮本武蔵_03水の巻,135083,0.918,249
吉川英治,宮本武蔵_04火の巻,183527,0.983,80
吉川英治,宮本武蔵_05風の巻,277622,0.978,132
吉川英治,宮本武蔵_06空の巻,224451,0.977,129
吉川英治,宮本武蔵_07二天の巻,154379,0.989,46
吉川英治,宮本武蔵_08円明の巻,191157,0.982,102
吉川英治,小説のタネ,11321,0.948,13
吉川英治,御鷹,8668,0.992,4
吉川英治,新書太閤記_01第一分冊,177350,0.955,196
吉川英治,新書太閤記_02第二分冊,187511,0.958,184
吉川英治,新書太閤記_03第三分冊,182464,0.968,151
吉川英治,新書太閤記_04第四分冊,184864,0.975,114
吉川英治,新書太閤記_05第五分冊,194498,0.972,125
吉川英治,新書太閤記_06第六分冊,197355,0.953,180
吉川英治,新書太閤記_07第七分冊,198511,0.96,184
吉川英治,新書太閤記_08第八分冊,190126,0.974,106
吉川英治,新書太閤記_09第九分冊,185074,0.962,157
吉川英治,新書太閤記_10第十分冊,174646,0.963,137
吉川英治,新書太閤記_11第十一分冊,184333,0.964,129
吉川英治,新水滸伝,678863,0.958,670
吉川英治,新編忠臣蔵,332264,0.978,221
吉川英治,旗岡巡査,24096,0.978,13
吉川英治,日本名婦伝_大楠公夫人,10593,0.965,6
吉川英治,日本名婦伝_太閤夫人,9306,0.973,5
吉川英治,日本名婦伝_小野寺十内の妻,8093,0.964,3
吉川英治,日本名婦伝_細川ガラシヤ夫人,12607,0.974,6
吉川英治,日本名婦伝_谷干城夫人,21083,0.977,9
吉川英治,日本名婦伝_静御前,11119,0.989,3
吉川英治,春の雁,10406,0.929,12
吉川英治,梅ちらほら,2683,1,0
吉川英治,梅里先生行状記,206511,0.986,65
吉川英治,梅颸の杖,14913,0.946,16
吉川英治,死んだ千鳥,15319,0.974,15
吉川英治,江戸三国志,570250,0.962,388
吉川英治,治郎吉格子,19883,0.984,9
吉川英治,源頼朝,301143,0.964,239
吉川英治,濞かみ浪人,19055,0.975,15
吉川英治,牢獄の花嫁,160280,0.979,65
吉川英治,田崎草雲とその子,19322,0.971,15
吉川英治,神州天馬侠,507187,0.946,480
吉川英治,私本太平記_01あしかが帖,121908,0.962,180
吉川英治,私本太平記_02婆娑羅帖,121353,0.993,26
吉川英治,私本太平記_04帝獄帖,111312,0.987,29
吉川英治,私本太平記_05世の辻の帖,107780,0.986,46
吉川英治,私本太平記_06八荒帖,107028,0.991,28
吉川英治,私本太平記_07千早帖,119576,0.994,32
吉川英治,私本太平記_08新田帖,121726,0.986,43
吉川英治,私本太平記_09建武らくがき帖,127704,0.986,40
吉川英治,私本太平記_10風花帖,121885,0.99,27
吉川英治,私本太平記_11筑紫帖,85818,0.992,18
吉川英治,私本太平記_12湊川帖,119229,0.994,29
吉川英治,私本太平記_13黒白帖,115328,0.987,31
吉川英治,篝火の女,27326,0.984,17
吉川英治,紅梅の客,7521,0.925,10
吉川英治,脚,13871,0.98,7
吉川英治,醤油仏,14481,0.976,6
吉川英治,銀河まつり,25784,0.981,11
吉川英治,鍋島甲斐守,11211,0.973,7
吉川英治,随筆私本太平記,56554,0.954,59
吉川英治,雲霧閻魔帳,33207,0.977,17
吉川英治,鬼,15688,0.974,13
吉川英治,魚紋,14421,0.975,9
吉川英治,鳴門秘帖_01上方の巻,121911,0.989,24
吉川英治,鳴門秘帖_02江戸の巻,137693,0.977,54
吉川英治,鳴門秘帖_03木曾の巻,56461,0.96,42
吉川英治,鳴門秘帖_04船路の巻,135003,0.965,92
吉川英治,鳴門秘帖_05剣山の巻,63510,0.991,15
吉川英治,鳴門秘帖_06鳴門の巻,59355,0.99,13
吉川英治,黒田如水,162074,0.968,110
吉行エイスケ,地図に出てくる男女,11561,0.968,4
吉行エイスケ,女百貨店,9677,0.98,6
吉行エイスケ,孟買挿話,10216,0.94,7
吉行エイスケ,東京ロマンティック恋愛記,2951,0.918,4
吉行エイスケ,飛行機から墜ちるまで,2350,0.926,8
和辻哲郎,アフリカの文化,2535,1,0
和辻哲郎,世界の変革と芸術,4935,0.962,3
和辻哲郎,人物埴輪の眼,3162,1,0
和辻哲郎,劉生画集及芸術観について,4667,0.949,5
和辻哲郎,土下座,2313,1,0
和辻哲郎,城,4205,0.966,3
和辻哲郎,夏目先生の追憶,10231,1,0
和辻哲郎,岡倉先生の思い出,1867,0.924,3
和辻哲郎,巨椋池の蓮,5993,0.98,2
和辻哲郎,文楽座の人形芝居,4722,1,0
和辻哲郎,松風の音,1462,1,0
和辻哲郎,歌集涌井を読む,2545,1,0
和辻哲郎,漱石の人物,11411,0.994,2
和辻哲郎,能面の様式,2522,1,0
和辻哲郎,茸狩り,2656,1,0
和辻哲郎,藤村の個性,6743,1,0
和辻哲郎,院展日本画所感,5073,1,0
和辻哲郎,露伴先生の思い出,4147,0.982,2
和辻哲郎,青丘雑記を読む,1914,1,0
和辻哲郎,面とペルソナ,4767,0.986,2
国木田独歩,女難,22559,0.903,27
国木田独歩,富岡先生,15187,0.921,15
国木田独歩,忘れえぬ人々,9354,0.906,15
国木田独歩,春の鳥,7482,0.911,10
国木田独歩,武蔵野,15497,0.972,6
国木田独歩,河霧,7506,0.912,15
国木田独歩,酒中日記,25657,0.925,51
